Iex,Iin,I,,,,
-6.43E-07,-9.23E-06,-9.74E-06,,,,
-6.43E-07,-1.07E-05,-1.12E-05,,,,
-6.43E-07,-8.68E-07,-1.38E-06,,,,
-6.43E-07,-5.44E-07,-1.06E-06,,,,
-6.43E-07,-6.26E-06,-6.78E-06,,,,
-6.43E-07,-1.30E-05,-1.36E-05,,,,
-6.43E-07,-2.42E-06,-2.94E-06,,,,
-6.43E-07,-1.35E-05,-1.40E-05,,,,
-6.43E-07,-8.53E-06,-9.04E-06,,,,
-6.42E-07,-8.57E-06,-9.09E-06,,,,
-6.42E-07,-1.65E-06,-2.17E-06,,,,
-6.42E-07,-7.51E-06,-8.02E-06,,,,
-6.42E-07,1.44E-06,9.21E-07,,,,
-6.42E-07,-1.25E-05,-1.30E-05,,,,
-6.42E-07,-7.69E-06,-8.21E-06,,,,
-6.42E-07,-5.93E-06,-6.45E-06,,,,
-6.42E-07,-4.29E-06,-4.80E-06,,,,
-6.42E-07,-5.46E-06,-5.98E-06,,,,
-6.42E-07,-1.00E-05,-1.05E-05,,,,
-6.42E-07,-6.24E-06,-6.76E-06,,,,
-6.42E-07,-7.43E-06,-7.95E-06,,,,
-6.42E-07,4.86E-06,4.35E-06,,,,
-6.42E-07,-5.27E-07,-1.04E-06,,,,
-6.42E-07,-4.62E-06,-5.14E-06,,,,
-6.42E-07,-6.77E-06,-7.28E-06,,,,
-6.41E-07,-4.93E-06,-5.45E-06,,,,
-6.41E-07,-6.15E-06,-6.66E-06,,,,
-6.41E-07,-1.60E-06,-2.12E-06,,,,
-6.41E-07,-1.75E-06,-2.27E-06,,,,
-6.41E-07,-3.90E-06,-4.41E-06,,,,
-6.41E-07,-6.65E-06,-7.17E-06,,,,
-6.41E-07,-6.29E-06,-6.81E-06,,,,
-6.40E-07,3.73E-06,3.22E-06,,,,
-6.40E-07,-8.56E-06,-9.07E-06,,,,
-6.40E-07,-8.68E-06,-9.19E-06,,,,
-6.40E-07,-6.71E-06,-7.22E-06,,,,
-6.39E-07,5.29E-07,1.67E-08,,,,
-6.39E-07,-9.44E-06,-9.95E-06,,,,
-6.39E-07,-9.05E-07,-1.42E-06,,,,
-6.38E-07,-1.60E-05,-1.65E-05,,,,
-6.38E-07,-3.46E-06,-3.97E-06,,,,
-6.38E-07,-4.30E-07,-9.41E-07,,,,
-6.37E-07,-9.91E-06,-1.04E-05,,,,
-6.37E-07,-6.17E-06,-6.68E-06,,,,
-6.36E-07,-8.70E-06,-9.21E-06,,,,
-6.36E-07,1.56E-06,1.06E-06,,,,
-6.35E-07,-8.08E-06,-8.58E-06,,,,
-6.34E-07,-3.96E-06,-4.47E-06,,,,
-6.33E-07,1.82E-06,1.31E-06,,,,
-6.32E-07,1.94E-06,1.44E-06,,,,
-6.32E-07,-1.04E-06,-1.55E-06,,,,
-6.30E-07,-6.66E-06,-7.17E-06,,,,
-6.29E-07,-1.29E-05,-1.34E-05,,,,
-6.28E-07,-9.18E-07,-1.42E-06,,,,
-6.26E-07,-2.48E-05,-2.53E-05,,,,
-6.25E-07,-5.41E-06,-5.91E-06,,,,
-6.23E-07,-4.07E-06,-4.57E-06,,,,
-6.21E-07,-1.01E-05,-1.06E-05,,,,
-6.19E-07,8.74E-07,3.83E-07,,,,
-6.16E-07,-7.89E-06,-8.38E-06,,,,
-6.14E-07,-1.01E-05,-1.06E-05,,,,
-6.11E-07,-3.50E-09,-4.87E-07,,,,
-6.07E-07,-5.17E-06,-5.65E-06,,,,
-6.04E-07,-2.98E-05,-3.03E-05,,,,
-6.00E-07,-3.27E-06,-3.74E-06,,,,
-5.95E-07,-7.04E-06,-7.51E-06,,,,
-5.90E-07,-6.50E-06,-6.96E-06,,,,
-5.85E-07,-5.15E-06,-5.61E-06,,,,
-5.79E-07,-4.07E-06,-4.52E-06,,,,
-5.72E-07,-6.08E-06,-6.53E-06,,,,
-5.65E-07,-4.88E-06,-5.32E-06,,,,
