x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
-0.4678057395946312,-0.4245554612876438,-0.3813051829806566,-0.33805490467366917,-0.294804626366682,-0.2515543480596946,-0.20830406975270724,-0.16505379144571997,-0.12180351313873264,-0.07855323483174538,-0.03530295652475802,0.007947321782229346,0.05119760008921659,0.06387501708859332,0.06636148031876651,0.06884794354893971,0.07133440677911289,0.07382087000928608,0.07630733323945926,0.07879379646963244,0.08128025969980564,0.0837667229299788,0.086253186160152,0.08873964939032518,0.09122611262049839,0.09473574982339458,0.0992685609990138,0.10380137217463299,0.1083341833502522,0.11286699452587141,0.11739980570149064,0.12193261687710984,0.12646542805272906,0.13099823922834827,0.13553105040396748,0.14006386157958667,0.1445966727552059,0.1500621037625528,0.15832539426508282,0.16658868476761285,0.17485197527014287,0.18311526577267292,0.19137855627520292,0.19964184677773295,0.20790513728026294,0.216168427782793,0.22443171828532302,0.23269500878785304,0.24095829929038304,0.2492215897929131
-0.5110551590390066,-0.4643737219378226,-0.41769228483663884,-0.37101084773545484,-0.324329410634271,-0.2776479735330872,-0.23096653643190318,-0.18428509933071935,-0.1376036622295354,-0.09092222512835159,-0.04424078802716766,0.002440649074016286,0.04912208617520011,0.06259593485441654,0.06500058739297715,0.06740523993153777,0.06980989247009838,0.07221454500865898,0.0746191975472196,0.0770238500857802,0.07942850262434081,0.08183315516290142,0.08423780770146203,0.08664246024002263,0.08904711277858324,0.09244127440422714,0.09682494511695434,0.10120861582968156,0.10559228654240876,0.10997595725513601,0.1143596279678632,0.11874329868059039,0.1231269693933176,0.1275106401060448,0.131894310818772,0.13627798153149923,0.14066165224422647,0.1459472573355153,0.15393866556248925,0.16193007378946314,0.1699214820164371,0.17791289024341103,0.18590429847038492,0.19389570669735884,0.20188711492433278,0.20987852315130673,0.21786993137828062,0.22586133960525456,0.23385274783222848,0.2418441560592024
-0.5477194779880901,-0.49813377841324086,-0.4485480788383918,-0.39896237926354267,-0.3493766796886936,-0.2997909801138445,-0.2502052805389953,-0.2006195809641463,-0.1510338813892971,-0.1014481818144481,-0.05186248223959896,-0.002276782664749796,0.047308916910099225,0.061454054826474966,0.06378567219002623,0.0661172895535775,0.06844890691712878,0.07078052428068005,0.07311214164423131,0.07544375900778258,0.07777537637133385,0.08010699373488511,0.08243861109843639,0.08477022846198766,0.08710184582553894,0.09039291849266545,0.09464344646336724,0.09889397443406904,0.10314450240477081,0.10739503037547261,0.11164555834617437,0.11589608631687617,0.12014661428757797,0.12439714225827975,0.12864767022898155,0.13289819819968335,0.13714872617038512,0.1422737945764115,0.15002248428841164,0.15777117400041177,0.16551986371241195,0.17326855342441208,0.1810172431364122,0.18876593284841237,0.19651462256041252,0.20426331227241265,0.21201200198441278,0.21976069169641294,0.22750938140841306,0.2352580711204132
-0.5788176417383686,-0.5267725705504862,-0.47472749936260417,-0.4226824281747218,-0.3706373569868396,-0.3185922857989573,-0.266547214611075,-0.21450214342319282,-0.16245707223531053,-0.11041200104742832,-0.058366929859546016,-0.006321858671663701,0.04572321251621848,0.06043427410048776,0.06270066581688603,0.06496705753328431,0.0672334492496826,0.06949984096608086,0.07176623268247914,0.07403262439887742,0.07629901611527569,0.07856540783167396,0.08083179954807224,0.08309819126447052,0.08536458298086878,0.08856358981762293,0.09269521177473293,0.09682683373184292,0.10095845568895294,0.10509007764606293,0.10922169960317293,0.11335332156028295,0.11748494351739294,0.12161656547450293,0.12574818743161295,0.12987980938872296,0.13401143134583293,0.1389931289830933,0.14652505366080462,0.15405697833851592,0.16158890301622728,0.1691208276939386,0.17665275237164996,0.18418467704936128,0.1917166017270726,0.19924852640478397,0.2067804510824953,0.21431237576020662,0.2218443004379179,0.22937622511562927
-0.6054625083869959,-0.5545897453407024,-0.5037169822944092,-0.45284421924811563,-0.40197145620182234,-0.351098693155529,-0.3002259301092355,-0.2493531670629422,-0.1984804040166488,-0.14760764097035547,-0.09673487792406202,-0.04586211487776859,0.00501064816852471,0.02184177246390929,0.027325683842324252,0.03280959522073921,0.038293506599154176,0.04377741797756913,0.04926132935598408,0.05474524073439904,0.060229152112814016,0.06571306349122898,0.07119697486964394,0.07668088624805888,0.08216479762647384,0.08691911915515035,0.09094385083408846,0.09496858251302655,0.09899331419196464,0.10301804587090273,0.1070427775498408,0.11106750922877888,0.11509224090771697,0.11911697258665507,0.12314170426559315,0.12716643594453125,0.13119116762346933,0.1360439824551298,0.14338104674495739,0.15071811103478494,0.15805517532461258,0.16539223961444016,0.17272930390426777,0.18006636819409533,0.18740343248392294,0.19474049677375055,0.20207756106357813,0.20941462535340571,0.2167516896432333,0.2240887539330609
-0.6288671986461036,-0.5805799836994039,-0.5322927687527044,-0.4840055538060046,-0.4357183388593051,-0.38743112391260537,-0.3391439089659056,-0.2908566940192061,-0.24256947907250645,-0.19428226412580687,-0.1459950491791072,-0.09770783423240749,-0.04942061928570793,-0.02995284470514762,-0.02009155024663377,-0.010230255788119926,-0.00036896132960608993,0.009492333128907751,0.019353627587421585,0.029214922045935426,0.03907621650444928,0.048937510962963116,0.05879880542147696,0.0686600998799908,0.07852139433850464,0.08541554126991555,0.08934254067422355,0.09326954007853155,0.09719653948283956,0.10112353888714755,0.10505053829145553,0.10897753769576353,0.11290453710007153,0.11683153650437952,0.12075853590868751,0.12468553531299552,0.1286125347173035,0.1333475089941988,0.140506407888856,0.14766530678351314,0.15482420567817037,0.16198310457282755,0.16914200346748476,0.1763009023621419,0.18345980125679914,0.19061870015145632,0.19777759904611347,0.20493649794077068,0.21209539683542789,0.21925429573008506
-0.649773303256828,-0.6044025920379109,-0.5590318808189939,-0.5136611696000768,-0.4682904583811598,-0.4229197471622427,-0.37754903594332556,-0.3321783247244086,-0.2868076135054915,-0.2414369022865745,-0.19606619106765738,-0.15069547984874027,-0.10532476862982326,-0.083201191117796,-0.06882665817473199,-0.05445212523166801,-0.04007759228860403,-0.025703059345540045,-0.011328526402476067,0.0030460065405879125,0.017420539483651912,0.03179507242671589,0.046169605369779876,0.060544138312843866,0.07491867125590784,0.08402421961220227,0.08786078338172712,0.09169734715125195,0.09553391092077682,0.09937047469030166,0.10320703845982651,0.10704360222935136,0.11088016599887622,0.11471672976840105,0.11855329353792593,0.12238985730745076,0.12622642107697563,0.13085235270775125,0.13784638792227932,0.14484042313680737,0.15183445835133547,0.15882849356586354,0.1658225287803916,0.17281656399491963,0.1798105992094477,0.18680463442397577,0.19379866963850384,0.2007927048530319,0.20778674006755998,0.21478077528208805
-0.6683909202182913,-0.625617457792227,-0.5828439953661626,-0.5400705329400983,-0.49729707051403405,-0.4545236080879697,-0.4117501456619054,-0.36897668323584115,-0.3262032208097767,-0.2834297583837125,-0.24065629595764815,-0.19788283353158376,-0.15510937110551953,-0.13062346781863746,-0.11223341757814947,-0.0938433673376615,-0.07545331709717354,-0.05706326685668557,-0.0386732166161976,-0.02028316637570964,-0.0018931161352216397,0.016496934105266325,0.034886984345754296,0.05327703458624226,0.07166708482673023,0.08273860964034864,0.08649160902709746,0.09024460841384631,0.09399760780059514,0.09775060718734396,0.1015036065740928,0.10525660596084163,0.10900960534759047,0.1127626047343393,0.11651560412108812,0.12026860350783697,0.1240216028945858,0.12854677687258817,0.13538847462435125,0.1422301723761143,0.1490718701278774,0.15591356787964047,0.16275526563140352,0.16959696338316657,0.17643866113492965,0.18328035888669272,0.19012205663845577,0.19696375439021885,0.20380545214198187,0.21064714989374497
-0.6844292025922708,-0.6438931570099489,-0.603357111427627,-0.562821065845305,-0.5222850202629832,-0.48174897468066114,-0.4412129290983392,-0.4006768835160173,-0.3601408379336954,-0.3196047923513735,-0.2790687467690516,-0.2385327011867296,-0.19799665560440777,-0.17147881590205033,-0.14963371149301435,-0.12778860708397843,-0.10594350267494249,-0.08409839826590657,-0.06225329385687063,-0.0404081894478347,-0.01856308503879873,0.0032820193702372,0.02512712377927313,0.04697222818830906,0.06881733259734499,0.08157868713382589,0.08525629179775174,0.08893389646167757,0.0926115011256034,0.09628910578952923,0.09996671045345507,0.10364431511738091,0.10732191978130673,0.11099952444523256,0.1146771291091584,0.11835473377308425,0.12203233843701008,0.12646660531930295,0.13317085885669694,0.13987511239409095,0.14657936593148496,0.15328361946887897,0.15998787300627298,0.16669212654366697,0.17339638008106098,0.180100633618455,0.18680488715584898,0.193509140693243,0.200213394230637,0.206917647768031
-0.6994012919961724,-0.6609539249409778,-0.6225065578857834,-0.5840591908305888,-0.5456118237753943,-0.5071644567201996,-0.468717089665005,-0.43026972260981045,-0.3918223555546159,-0.35337498849942134,-0.31492762144422676,-0.2764802543890322,-0.23803288733383765,-0.2096195660907305,-0.18455092678498577,-0.15948228747924112,-0.13441364817349644,-0.10934500886775174,-0.08427636956200706,-0.05920773025626238,-0.03413909095051766,-0.009070451644772978,0.015998187660971698,0.04106682696671638,0.06613546627246106,0.0804726419017761,0.08407835385466145,0.08768406580754678,0.09128977776043214,0.09489548971331747,0.09850120166620283,0.10210691361908819,0.10571262557197353,0.10931833752485887,0.11292404947774422,0.11652976143062956,0.1201354733835149,0.12448305571649393,0.13105624918975384,0.1376294426630138,0.14420263613627377,0.15077582960953373,0.1573490230827937,0.16392221655605363,0.1704954100293136,0.17706860350257353,0.18364179697583347,0.19021499044909343,0.19678818392235337,0.20336137739561333
