Iex,Iin,I
-2.6253922841006985e-6,-1.8654617051984637e-6,-2.928555948260666e-6
-2.6265788631254753e-6,-1.8199298917271092e-6,-2.8822095913910318e-6
-2.6277168126936385e-6,-1.8652187353951638e-6,-2.926661998263629e-6
-2.6288060060339246e-6,-1.8712834219244065e-6,-2.931868392631617e-6
-2.629843945752446e-6,-1.8674451683845384e-6,-2.927146708188975e-6
-2.630832622158037e-6,-1.8930888778762733e-6,-2.951883115749051e-6
-2.6317709957263382e-6,-1.8478752983072585e-6,-2.9057373490493852e-6
-2.632658572049423e-6,-1.8585442537350467e-6,-2.915448813802362e-6
-2.633494476405574e-6,-1.8945146362435766e-6,-2.9504348428053802e-6
-2.6342765029748096e-6,-1.8759204865487756e-6,-2.930826624420943e-6
-2.6350066547430897e-6,-1.8606425209771936e-6,-2.91450691599294e-6
-2.635684995096047e-6,-1.8660451952921967e-6,-2.9188401732847363e-6
-2.6363071757793486e-6,-1.8719869517273875e-6,-2.9236799578362973e-6
-2.63687500962206e-6,-1.8998673246494482e-6,-2.950427021018433e-6
-2.637391171497838e-6,-1.8876967509303795e-6,-2.9370944999310525e-6
-2.637847345211808e-6,-1.909613283863177e-6,-2.957812106318025e-6
-2.6382480311438176e-6,-1.8418665559365237e-6,-2.888833288483059e-6
-2.638589628989989e-6,-1.9038190004386186e-6,-2.9495165371280642e-6
-2.6388732416603127e-6,-1.8855440734620112e-6,-2.9299363478699493e-6
-2.6390964731779117e-6,-1.8650509663052717e-6,-2.908099414613398e-6
-2.6392580051216482e-6,-1.9295597660095597e-6,-2.9712240242476287e-6
-2.639358737567491e-6,-1.954777422639493e-6,-2.995017570536682e-6
-2.639391888252852e-6,-1.8577095156745183e-6,-2.896478825343164e-6
-2.6393645183370987e-6,-1.8996375770889137e-6,-2.936896255029456e-6
-2.639268755324779e-6,-1.890229184395182e-6,-2.9259291082360612e-6
-2.6391088967617185e-6,-1.8702902704932198e-6,-2.9043872477720384e-6
-2.6388776025917712e-6,-1.9118076056915495e-6,-2.944249989795626e-6
-2.638577535011467e-6,-1.8842445412416064e-6,-2.9149833350776634e-6
-2.6382033949819986e-6,-1.938704056130394e-6,-2.9676844184499155e-6
-2.637756399507494e-6,-1.9255196799413424e-6,-2.9526876442175276e-6
-2.6372352174896885e-6,-1.8688309304182606e-6,-2.8941311863489185e-6
-2.6366361725619448e-6,-1.9102835235324074e-6,-2.9336569196460677e-6
-2.6359554362321107e-6,-1.8814773781056206e-6,-2.902860440030734e-6
-2.635195188965916e-6,-1.913766956983339e-6,-2.933098238688569e-6
-2.6343469117344635e-6,-1.9121346755509432e-6,-2.9293440218191626e-6
-2.6334149274378336e-6,-1.917986208878022e-6,-2.9330076732980454e-6
-2.6323940384542305e-6,-1.942983511698033e-6,-2.9557454558289524e-6
-2.6312795035384046e-6,-1.9252397056062763e-6,-2.935665610313545e-6
-2.6300724002460947e-6,-1.8819365182671521e-6,-2.889950764492194e-6
-2.6287673407986087e-6,-1.916425046124355e-6,-2.92194652561289e-6
-2.6273601670985096e-6,-1.912668306506808e-6,-2.9156112711763205e-6
-2.6258528060690004e-6,-1.8929016620745863e-6,-2.8931821893487503e-6
-2.6242331257001803e-6,-1.8769838185513422e-6,-2.874505638332784e-6
-2.622505068578338e-6,-1.935112829074252e-6,-2.9297835124348775e-6
-2.6206603185086005e-6,-1.92322427070759e-6,-2.91494269221064e-6
-2.61869492022755e-6,-1.931441888247728e-6,-2.920102764359006e-6
-2.6166074792512916e-6,-1.8966055253981978e-6,-2.8821020132969692e-6
-2.6143909978060884e-6,-1.9551103620083787e-6,-2.9373284816517826e-6
-2.612041368503009e-6,-1.8946064186382281e-6,-2.873427803697692e-6
-2.609550693492348e-6,-1.927751741574809e-6,-2.903049899683782e-6
-2.6069171092365336e-6,-1.9492039620785306e-6,-2.920850423238753e-6
-2.60413123466208e-6,-1.926062476459546e-6,-2.8939191614109976e-6
-2.6011902427698146e-6,-1.9256236197001473e-6,-2.8895493686411095e-6
-2.598084625714988e-6,-1.928926188589685e-6,-2.8887701690710465e-6
-2.5948063588766305e-6,-1.9362758032897966e-6,-2.8918790821787196e-6
-2.591352006753507e-6,-1.9181839466945654e-6,-2.8693838257516906e-6
-2.587710831819613e-6,-1.9391952440672956e-6,-2.8858181861102503e-6
-2.58387567149857e-6,-1.944667503128741e-6,-2.8865325421791194e-6
-2.5798352938564467e-6,-1.9007087562326804e-6,-2.8376236183153894e-6
-2.5755804445910204e-6,-1.916845457664939e-6,-2.8486083989915134e-6
-2.571103289238217e-6,-1.9282431196686053e-6,-2.8546443591524857e-6
-2.566391556339746e-6,-1.8984584522144206e-6,-2.8192757725081135e-6
-2.5614331899484653e-6,-1.8961312741020769e-6,-2.8111302878168107e-6
-2.5562170341932014e-6,-1.8967781625046019e-6,-2.8057131108692824e-6
-2.550727293374543e-6,-1.935524366626403e-6,-2.838133568399264e-6
-2.5449569316873748e-6,-1.921497975706308e-6,-2.817512472975066e-6
-2.538884030380268e-6,-1.9364212606373426e-6,-2.825550100675527e-6
-2.5324954559503414e-6,-1.9295863499434804e-6,-2.8115252690419707e-6
-2.52577642686829e-6,-1.921466396984612e-6,-2.7958961217167097e-6
-2.5187053539879686e-6,-1.8936249935488997e-6,-2.760204610633255e-6
-2.5112687742012114e-6,-1.9139490512259873e-6,-2.7723239687619377e-6
-2.5034422206541965e-6,-1.956614680527568e-6,-2.8064057636978698e-6
-2.495205004276747e-6,-1.920396612324742e-6,-2.761203796376576e-6
-2.48653611907053e-6,-1.9261249620152417e-6,-2.757527036749065e-6
-2.477408765590477e-6,-1.9227234481546747e-6,-2.7442723405402437e-6
-2.467798882650807e-6,-1.9370096821332192e-6,-2.7482330931518686e-6
-2.4576760831797014e-6,-1.8662080710113242e-6,-2.6666031244156733e-6
-2.4470106139616546e-6,-1.912581087877637e-6,-2.701615040110664e-6
-2.435769755333602e-6,-1.93873701665886e-6,-2.715844201666457e-6
-2.423919798816624e-6,-1.966825776183584e-6,-2.7314068067555955e-6
-2.411422307363678e-6,-1.925186677186825e-6,-2.676603551586286e-6
-2.3982359662200443e-6,-1.9192313055179523e-6,-2.6568045678047883e-6
-2.384315987098389e-6,-1.9633542338771526e-6,-2.6863595510840703e-6
-2.3696130559772763e-6,-1.893577619127793e-6,-2.601241103400663e-6
-2.3540771869475737e-6,-1.955600193492763e-6,-2.6470979457140713e-6
-2.3376498370398767e-6,-1.9437710528172233e-6,-2.618220453420282e-6
-2.320272653441673e-6,-1.94095779564989e-6,-2.5974178088698674e-6
-2.301877724787196e-6,-1.8920468307688201e-6,-2.5295083446724763e-6
-2.2823983186834294e-6,-1.926094562266295e-6,-2.5434816311103623e-6
-2.2617646729041614e-6,-1.8955969078728848e-6,-2.491763684239494e-6
-2.2399124256789994e-6,-1.924393634194806e-6,-2.498129845510064e-6
-2.2167850497016236e-6,-1.9233854476917887e-6,-2.473424040532956e-6
-2.192308675356892e-6,-1.925330499185074e-6,-2.4503305885456477e-6
-2.166357659645716e-6,-1.93121377603649e-6,-2.429708669108238e-6
-2.138457954105998e-6,-1.8895905868332793e-6,-2.3596394409288578e-6
-2.1058951070930434e-6,-1.909829619024051e-6,-2.3467769876859084e-6
0.0,0.0,0.0
