Iup5,Idn5,Iup10,Idn10
5.9270199616793235e-5,-0.0025393483699155174,0.0025393483699155174,-0.002538266913028516
5.930077018138382e-5,-0.002450389116620149,0.002450389116620149,-0.00244936426968417
5.9331122993118116e-5,-0.002364497074072878,0.002364497074072878,-0.00236352718354559
5.935530341917142e-5,-0.0022815668948831034,0.0022815668948831034,-0.002280658830369014
5.938112315168302e-5,-0.0022014958960526955,0.0022014958960526955,-0.0022006503598253984
5.9406798948613444e-5,-0.002124164775218667,0.002124164775218667,-0.002123382498598241
5.943563027563321e-5,-0.0020495489966181435,0.0020495489966181435,-0.0020487936155112758
5.944753062544085e-5,-0.0019774835969592363,0.0019774835969592363,-0.0019767655332923262
5.943954571544335e-5,-0.0019079048368743654,0.0019079048368743654,-0.001907229705859299
5.949199157046001e-5,-0.0018407319374665228,0.0018407319374665228,-0.0018400745237617025
5.949681325769147e-5,-0.0017758869138277216,0.0017758869138277216,-0.0017752851249839344
5.948418852889777e-5,-0.0017132664222443772,0.0017132664222443772,-0.0017127004135136345
5.951786836435896e-5,-0.0016528150071090809,0.0016528150071090809,-0.001652290373322097
5.9500244324133946e-5,-0.0015944638213969224,0.0015944638213969224,-0.0015939608543433517
5.952849864145318e-5,-0.0015381155256021697,0.0015381155256021697,-0.0015376417718125958
5.953629350402008e-5,-0.0014837212351517491,0.0014837212351517491,-0.0014832771547867666
5.950716310577227e-5,-0.0014311822261381239,0.0014311822261381239,-0.001430784493236595
5.9529223742548745e-5,-0.0013805093194163478,0.0013805093194163478,-0.001380123648558207
5.9524422731228035e-5,-0.0013315649702216868,0.0013315649702216868,-0.0013311971172680658
5.9515965104773356e-5,-0.001284308485694383,0.001284308485694383,-0.0012839641663335475
5.948027412067262e-5,-0.0012386904905658529,0.0012386904905658529,-0.0012383659737169686
5.9492432410940725e-5,-0.0011946602891829256,0.0011946602891829256,-0.0011943475447230983
5.945492047300034e-5,-0.0011521483699441608,0.0011521483699441608,-0.0011518532523835227
5.9463697772909185e-5,-0.0011110850318638492,0.0011110850318638492,-0.0011108298242636394
5.94455125504449e-5,-0.0010714870932259102,0.0010714870932259102,-0.0010712325800592477
5.9427585636864285e-5,-0.001033241011610618,0.001033241011610618,-0.0010329933932633477
5.9407747343650434e-5,-0.0009963142170795482,0.0009963142170795482,-0.0009960847152659185
5.938963679320312e-5,-0.0009606443175446029,0.0009606443175446029,-0.0009604572964306918
5.9354087386774996e-5,-0.0009262687058103917,0.0009262687058103917,-0.0009260584218358099
5.9324075808621326e-5,-0.0008930469470383851,0.0008930469470383851,-0.0008928515613322493
5.92883253168031e-5,-0.0008609817695793241,0.0008609817695793241,-0.0008607978368982668
5.9251730413715756e-5,-0.0008300276936948451,0.0008300276936948451,-0.0008298568569706088
5.921033803617055e-5,-0.0008001445339618511,0.0008001445339618511,-0.0007999905648312973
5.916912138176141e-5,-0.0007712958922005145,0.0007712958922005145,-0.0007711422160843111
5.910270933955571e-5,-0.000743448544093835,0.000743448544093835,-0.000743289351031585
