Iup5,Idn5,Iup10,Idn10
0.0,-0.0,0.0,-0.0
29.787351801543334,29.244496085250166,59.909485137806065,58.38094188369688
23.802862029127596,23.427709432021206,47.856226203435824,46.77414920815829
18.99687883428734,18.757462160383128,38.20599104293692,37.44093469139466
15.184183701622569,15.029121301208498,30.50556240233147,29.94416563896909
12.139280762827562,12.040460560685187,24.37846852864069,23.98695356320587
9.71080681989288,9.648900471154315,19.456571472758206,19.204824997836187
7.764734362065588,7.721795375317282,15.54999077358763,15.387169401991061
6.204263696335803,6.177410025968237,12.431180507477059,12.327822441012517
4.956784710502967,4.941086166837559,9.94346656050564,9.879072157235543
3.9637943418323176,3.954517888088368,7.9515209590052915,7.9069725855645405
3.1708507395219208,3.1645292315953504,6.354080987503983,6.325770569072121
2.535852335659689,2.5320828947616922,5.076477843406468,5.059415748587616
2.0281455082362516,2.0258879127518923,4.058977831373295,4.049283263238607
1.6221771714721205,1.6207515362620222,3.2470461265126023,3.2404025700393206
1.2975131309677683,1.2965336944576005,2.596791297809793,2.5928147040763827
1.0378712537085828,1.037079623084051,2.0768771867649063,2.0745076734792196
0.8302066423707004,0.8294886711835391,1.6611421516427263,1.6596593775761885
0.6641134091855644,0.6636457629236447,1.3286885924261795,1.3276644641611368
0.5312453496831682,0.5309581658654132,1.062800267694897,1.0619988127365108
0.42496882714448314,0.42478771573592905,0.8501395373916514,0.8494212998049597
0.33996112069635964,0.3398498657937295,0.6800589644424611,0.679564060188448
0.27195541924428607,0.2718888504733841,0.5440021283570542,0.5437000410005135
0.2175626711998151,0.21752358531230684,0.4351751385725422,0.43498688232796423
0.17404431753418306,0.17401993345175357,0.34811621993041675,0.3480071560700757
0.13922780013462993,0.1392176163509189,0.27849296998460066,0.278414390065173
0.11138043348199933,0.11137859777578733,0.22278249183165078,0.22274109622912125
0.08910603614114454,0.08910602321747012,0.17822035508467274,0.1781912739955632
0.07127775032419302,0.07128747687679197,0.14257484546362548,0.14255727257519987
0.05701013129771295,0.057022364696915635,0.11405605814301396,0.11405245319020475
0.04562131118990701,0.04562453649936022,0.09124064009954763,0.09124420532829834
0.03649859747000054,0.03650659951308516,0.07298799253542712,0.07299632015742198
0.029200130719799405,0.029203539211297994,0.0583946860418767,0.05839496037324096
0.02335378620408832,0.023355617302100194,0.04670921922055192,0.046712292265464875
0.018682101358581837,0.018682566569748767,0.03736862612990813,0.03737091073924194
0.014955398881071155,0.01495684758296648,0.029895156227902703,0.029899350114008648
0.011960624991003586,0.011952030989508033,0.023912848116081686,0.02391513393490626
0.009568105382269546,0.0095674519610461,0.019128176264527504,0.01913894104048648
0.007652458091476204,0.007661568150100776,0.015302678540282999,0.015314779290341519
0.006115824060291227,0.006122841140605186,0.012248303508262628,0.012251023825378784
0.00489579308347097,0.004903129895030818,0.009790828854409054,0.009795029596381984
0.003920127103172194,0.003923840563207096,0.007830457644399519,0.007845860520579258
0.003131586770274787,0.0031403659993438633,0.006264232878830392,0.0062681968947571574
0.0025103010365143353,0.0025083233475575928,0.005013471898979168,0.0050223373484912515
0.002002647872172884,0.002015272730257993,0.0040116715941578025,0.004019638342819052
0.0016129649488035628,0.0016094270134804412,0.003201478952743564,0.0032167149046566897
0.0012804545625486412,0.0012940275530628532,0.0025637234460609407,0.002571004074211867
0.0010228232193238895,0.0010287040625252227,0.0020473554460188853,0.0020535935558730744
0.0008166529068200989,0.0008276739091879632,0.001636383871840826,0.0016509321806109853
0.0006546249776709174,0.0006609367084325984,0.0013105021655075114,0.0013194872474702796
0.0005248799171313611,0.0005285413352824892,0.0010495212872870085,0.0010590789615103273
0.00041609190120781947,0.0004330929610485969,0.0008336319181066105,0.0008445857301548139
0.0003300569564064452,0.0003410515137987848,0.0006673648232283256,0.0006789981931739331
0.00025895797969348783,0.00027326742676637007,0.0005345195995918293,0.0005398533685984518
0.0002127869357744523,0.0002196805988577762,0.0004323634484749019,0.00042548242227243195
0.00016711299823005978,0.00017994517312993328,0.00034274551567511094,0.000353280343523853
0.00013707176161855723,0.00013701550487586677,0.0002704542023663565,0.00028225312365132745
0.00011298805216273267,0.00011931502192882211,0.0002185340939440264,0.00022023390757728998
8.876038262368329e-5,9.662825879205973e-5,0.00017412912502274305,0.0001760615410193482
6.734602647348587e-5,7.558714352029178e-5,0.0001473919355086338,0.00015010108335093605
5.234572352564417e-5,5.9256394494378316e-5,0.00011707823078984197,0.00011623562265789309
3.4713474117207724e-5,4.5636748756443195e-5,9.466594513806058e-5,9.22345972804845e-5
3.544861259199811e-5,3.560218112049489e-5,6.882849645335566e-5,7.889756225091675e-5
2.748231608477794e-5,3.452196558023772e-5,5.657655437868424e-5,5.8660732393912835e-5
1.605179141669899e-5,3.231147965529544e-5,4.8514038092522866e-5,5.0301866446245716e-5
1.0499689955807738e-5,2.1131246322594308e-5,3.0322538815352963e-5,3.3863587127629376e-5
1.2353202603477427e-5,1.3610537181488321e-5,2.2019255409550264e-5,3.550207240375196e-5
3.5402377523586957e-6,2.719400768072434e-5,2.1914713088228325e-5,2.7823177217954044e-5
7.562704237683638e-6,1.0405885796503868e-5,1.593555153890025e-5,2.2854064238906365e-5
5.429146854751382e-7,8.924446377860676e-6,9.047281778651727e-6,1.5396514996722777e-5
-8.689132042202666e-7,9.075906676931529e-6,6.705270553109498e-6,1.5923720924465294e-5
-3.3117204303514035e-7,1.7736036073969223e-6,1.0006353131346449e-5,1.1695192622176648e-5
-9.219070093352694e-7,1.3671226941439545e-5,4.1338298395880675e-6,7.222979342511267e-6
