Iup5,Idn5,Iup10,Idn10
0.0,-0.0,0.0,-0.0
21.599104067570572,20.376452703244706,43.897315815873775,39.534547923533694
17.278079792535912,16.39748792255422,34.84480165483069,32.00737607529991
13.719349179177328,13.089658008640539,27.720449382030655,25.834360932041772
10.920070027199664,10.478593814076007,22.11973013386402,20.8485905024192
8.709047252272876,8.42726549578618,17.691782601333497,16.784647711583233
6.9541109337796545,6.773184461462687,14.06066615530907,13.413033835051499
5.558814593499623,5.441464173317075,11.186776313671363,10.723555763542457
4.447983436666786,4.370437037055183,8.920458484315972,8.624976418790546
3.5626640130745852,3.510611722825638,7.122060677855913,6.932484059938479
2.8560309700417257,2.8214381903333856,5.692432829654851,5.569636741956521
2.291915038699965,2.26850136977724,4.554416261973254,4.473494277909355
1.8412203628469028,1.8251403210517076,3.6475269057819553,3.5931651724785274
1.4791946536254437,1.4696173883253303,2.923791612694049,2.8876879539862457
1.1845031405977788,1.1780616178707202,2.346023318564453,2.3216411076908163
0.9471348398508628,0.9434120668933742,1.8844954268385232,1.867736206102318
0.7574093716618634,0.7550285922811754,1.5139357003060745,1.5037761553749136
0.6057347259244217,0.6042133752161766,1.2130030975379145,1.2061482715361032
0.48446532761535854,0.4834933238806489,0.9699127295593977,0.9660087359740157
0.3874929780398871,0.386874196540075,0.7756164656869384,0.773119326563787
0.3099442337198582,0.3095493443604241,0.6202908045250328,0.6186959992329046
0.24792213388639678,0.24767238264437907,0.4961055221091585,0.4950861872005742
0.19831621242339278,0.19815913206456737,0.39680216926999085,0.39615093071583907
0.15863980965743604,0.15854166793286123,0.31738779654096366,0.31697341477353186
0.12690238554666503,0.1268418772116443,0.2538764802066091,0.2536119089357863
0.10151622176096736,0.1014789946912823,0.20307873095203985,0.2029114777255261
0.08120905716097024,0.08118726633901419,0.1624485966249844,0.16234490726187498
0.06496341400555608,0.06495256229537043,0.12994872582873285,0.12988491719879008
0.05196947252966624,0.051964874168601585,0.10395307020622778,0.103914128673573
0.04157455416621583,0.04157266570979049,0.08315876647820718,0.08313507857023379
0.03325952709032318,0.033259149720372395,0.06652339381880039,0.06651109199927965
0.02660537744197597,0.0266083049940701,0.05321710872711534,0.05321104494804384
0.021282961812574126,0.021287449190548792,0.0425729235793419,0.04257033437254245
0.017026264199065323,0.01702970308599913,0.034055381437252966,0.034057021820008776
0.013620961179679182,0.013625125792478498,0.02724530030797321,0.027246391917424704
0.010895605092200425,0.010901670889239011,0.021794337201348872,0.021798206066504094
0.008715553691162335,0.008721196528055886,0.01743397511178934,0.017439758917156073
0.006972101625606017,0.006976981747733858,0.013947293219744042,0.013952087550066926
0.005577235029184112,0.005582530687278999,0.011158651055039739,0.011162247638536469
0.004461310552344215,0.0044662574564963455,0.008925813710908819,0.008930002508310596
0.0035683682923094706,0.003573544398839458,0.007139481372835106,0.007144145477229688
0.0028541785498823248,0.002859227483175937,0.005711705966780955,0.00571609411120257
0.0022824976644368264,0.0022881757807419337,0.004568445416636258,0.004573778638161515
0.0018257266241052596,0.001832020903021012,0.0036549692718851065,0.003659555071075035
0.0014603315691560693,0.0014662514200433103,0.0029227588881486173,0.0029277063367702492
0.0011675805558303914,0.0011728648882787668,0.002338377763564048,0.0023434057659122588
0.000932897716288416,0.0009387806752661947,0.0018695609897068876,0.001875002891747514
0.0007462714438142954,0.000752861053871057,0.0014954020483492268,0.0015004527432599655
0.0005964921620752873,0.0006016958514089783,0.001195637544445866,0.0012005160087156781
0.00047669890414558664,0.00048289981205199575,0.0009560037242477928,0.0009612392458120127
0.0003811192043664754,0.0003862300433297763,0.0007637062301131956,0.0007697985294130167
0.0003043048697958099,0.00030943549800459323,0.0006101256706242985,0.0006161373500748325
0.0002431939020627137,0.00024800413963337037,0.00048689424748597727,0.000493479170446561
0.00019374726164731593,0.0001979499753628493,0.0003900328622339409,0.00039489721289835147
0.00015535704524918565,0.00015932566294132156,0.0003122798281715163,0.00031723072658463696
0.00012213577733551437,0.00012819815200590883,0.0002487462575792304,0.00025344016119346316
9.795740669210723e-5,0.00010314690504848584,0.00019854496630052944,0.0002036312513618754
7.788246357137264e-5,8.296116829802797e-5,0.00015891964495728242,0.0001633840109243476
6.214763334526631e-5,6.684262818602019e-5,0.00012608698652259804,0.00013125967540744357
4.923040951243141e-5,5.4031116814767906e-5,0.00010036061191533217,0.00010484619627454018
3.86621333052497e-5,4.368769636604197e-5,8.026455940938538e-5,8.445744342057494e-5
3.046905624613992e-5,3.537831212791749e-5,6.339616130774662e-5,6.788808938321135e-5
2.389644891576124e-5,2.8689175069996053e-5,5.0382674935965664e-5,5.42746228099839e-5
1.7755265450492925e-5,2.4380082202670744e-5,4.0110631878259704e-5,4.446706485026387e-5
1.4759148494860741e-5,1.9190495803785388e-5,3.1308905370921055e-5,3.672393677928056e-5
1.1016538097424343e-5,1.5523189912996774e-5,2.4611828838082015e-5,2.7896927499673105e-5
