alpha,nu,S,phi_k,xi_bar,a,wss,els
0.25,0.6,0.0,2.4,0.275,0.001,1.4811839386176393,9.24985541656243
0.25,0.6,0.0,2.4,0.30000000000000004,0.001,1.4768690937936155,8.461718979515313
0.25,0.6,0.0,2.4,0.325,0.001,1.4727316440579454,8.377933539889455
0.25,0.6,0.0,2.4,0.35000000000000003,0.001,1.4687639403714554,7.392855241357457
0.25,0.6,0.0,2.4,0.375,0.001,1.4647826008942946,7.09059676224626
0.25,0.6,0.0,2.4,0.4,0.001,1.4608923969039518,6.845311195514044
0.25,0.6,0.0,2.4,0.42500000000000004,0.001,1.4571130357338598,6.647821269507628
0.25,0.6,0.0,2.4,0.45,0.001,1.4534666571557133,6.671356765891883
0.25,0.6,0.0,2.4,0.47500000000000003,0.001,1.4499319429013346,6.288275332399431
0.25,0.6,0.0,2.4,0.5,0.001,1.4463935172157827,5.73550983285059
0.25,0.6,0.0,2.4,0.525,0.001,1.4428767228162105,5.594850906891815
0.25,0.6,0.0,2.4,0.55,0.001,1.4394225276425043,5.476740903262727
0.25,0.6,0.0,2.4,0.5750000000000001,0.001,1.4360285572982754,5.410690397702263
0.25,0.6,0.0,2.4,0.6000000000000001,0.001,1.43272041421865,5.42480626839538
0.25,0.6,0.0,2.4,0.625,0.001,1.4294762833528392,5.140765443764607
0.25,0.6,0.0,2.4,0.65,0.001,1.426244635652199,5.056785186167679
0.25,0.6,0.0,2.4,0.675,0.001,1.4230766895705098,4.976851369370937
0.25,0.6,0.0,2.4,0.7000000000000001,0.001,1.419977065049423,4.897501284873977
0.25,0.6,0.0,2.4,0.7250000000000001,0.001,1.416947784843615,4.826753264768255
0.25,0.6,0.0,2.4,0.75,0.001,1.4139972574175554,4.7712791988615875
0.25,0.6,0.0,2.4,0.775,0.001,1.411150437560928,4.511916633808236
0.25,0.6,0.0,2.4,0.8,0.001,1.4083768648030923,4.320777094087712
0.25,0.6,0.0,2.4,0.8250000000000001,0.001,1.405649496476068,4.257328918422673
0.25,0.6,0.0,2.4,0.8500000000000001,0.001,1.4029992449148438,4.199381344563598
0.25,0.6,0.0,2.4,0.875,0.001,1.4004216859856526,4.131591269899819
0.25,0.6,0.0,2.4,0.9,0.001,1.3979089759503351,4.077528680133505
0.25,0.6,0.0,2.4,0.925,0.001,1.3954596673356559,4.026910226731651
0.25,0.6,0.0,2.4,0.9500000000000001,0.001,1.393069128315407,3.993056152345515
0.25,0.6,0.0,2.4,0.9750000000000001,0.001,1.3907399970463004,4.002676393032303
0.25,0.6,0.0,2.4,1.0,0.001,1.388475487999899,3.931309902831293
