alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.0325,0.1970207793609598,0.001,1.525835410256216,8.30477566550801
0.25,0.6,2.4,0.0325,0.20640272123529121,0.001,1.5257253872119043,8.25527800080522
0.25,0.6,2.4,0.0325,0.21578466310962263,0.001,1.5256203086222837,8.210002345410585
0.25,0.6,2.4,0.0325,0.22516660498395408,0.001,1.5255197758447916,8.168543568157823
0.25,0.6,2.4,0.0325,0.2345485468582855,0.001,1.5254236245161878,8.129974488391865
0.25,0.6,2.4,0.0325,0.2439304887326169,0.001,1.5253314928349828,8.094103909748243
0.25,0.6,2.4,0.0325,0.2533124306069483,0.001,1.5252431476461235,8.060785338738063
0.25,0.6,2.4,0.0325,0.26269437248127975,0.001,1.5251583655016725,8.029753118252879
0.25,0.6,2.4,0.0325,0.27207631435561114,0.001,1.5250771832397738,7.999879936618184
0.25,0.6,2.4,0.0325,0.2814582562299426,0.001,1.5249992374123702,7.971705304022807
0.25,0.6,2.4,0.0325,0.290840198104274,0.001,1.524924284393512,7.945301791426851
0.25,0.6,2.4,0.0325,0.3002221399786054,0.001,1.524852228185695,7.920323668935914
0.25,0.6,2.4,0.0325,0.30960408185293686,0.001,1.5247829041366956,7.896781150512373
0.25,0.6,2.4,0.0325,0.31898602372726825,0.001,1.5247161514630474,7.874486790601984
0.25,0.6,2.4,0.0325,0.3283679656015997,0.001,1.5246518274242093,7.853483212403181
0.25,0.6,2.4,0.0325,0.3377499074759311,0.001,1.5245898408833523,7.833475030553996
0.25,0.6,2.4,0.0325,0.34713184935026253,0.001,1.5245299810655832,7.8146735352836405
0.25,0.6,2.4,0.0325,0.3565137912245939,0.001,1.524472206852787,7.796788200286979
0.25,0.6,2.4,0.0325,0.36589573309892537,0.001,1.5244163862094102,7.778013110359194
0.25,0.6,2.4,0.0325,0.37527767497325676,0.001,1.524362463678358,7.758848161417567
0.25,0.6,2.4,0.04875,0.00938194187433142,0.001,1.511004574440086,34.21807181325853
0.25,0.6,2.4,0.04875,0.01876388374866284,0.001,1.5127237627631278,18.957700461383276
0.25,0.6,2.4,0.04875,0.02814582562299426,0.001,1.516771077106159,14.957642953482406
0.25,0.6,2.4,0.04875,0.03752776749732568,0.001,1.5196007534281497,12.623267688775982
0.25,0.6,2.4,0.04875,0.046909709371657095,0.001,1.5212379947072963,11.27600094624239
0.25,0.6,2.4,0.04875,0.05629165124598852,0.001,1.5221871921621728,10.585669057245394
0.25,0.6,2.4,0.04875,0.06567359312031994,0.001,1.5227851260899783,9.980691545918178
0.25,0.6,2.4,0.04875,0.07505553499465135,0.001,1.5231428581143014,9.586328235902247
0.25,0.6,2.4,0.04875,0.08443747686898277,0.001,1.5233804532990172,9.258958173734563
0.25,0.6,2.4,0.04875,0.09381941874331419,0.001,1.5235377912018888,9.040627519313716
0.25,0.6,2.4,0.04875,0.10320136061764561,0.001,1.523640449439223,8.855513888547051
0.25,0.6,2.4,0.04875,0.11258330249197704,0.001,1.523701672996003,8.715176433295621
0.25,0.6,2.4,0.04875,0.12196524436630846,0.001,1.5237366714605438,8.595698165595152
0.25,0.6,2.4,0.04875,0.13134718624063987,0.001,1.5237540238068896,8.484480979464568
0.25,0.6,2.4,0.04875,0.1407291281149713,0.001,1.5237585828108522,8.391959681668773
0.25,0.6,2.4,0.04875,0.1501110699893027,0.001,1.5237539087552083,8.307499498945749
