alpha,nu,phi_k,sigmaxi,a,wss,els
0.25,0.6,2.4,0.09381941874331419,0.001,1.3939061041143597,10.057148661610027
0.25,0.6,2.4,0.10320136061764561,0.001,1.3933055290305547,9.116513335965315
0.25,0.6,2.4,0.11258330249197704,0.001,1.3940748732417088,8.56140020525964
0.25,0.6,2.4,0.12196524436630846,0.001,1.396254933497991,7.973786496137701
0.25,0.6,2.4,0.13134718624063987,0.001,1.3992877089052687,7.340106356989816
0.25,0.6,2.4,0.1407291281149713,0.001,1.4029109443680834,6.840437544048222
0.25,0.6,2.4,0.1501110699893027,0.001,1.4068061112218238,6.35093385008107
0.25,0.6,2.4,0.15949301186363413,0.001,1.4106258750864547,5.936675560434884
0.25,0.6,2.4,0.16887495373796554,0.001,1.4143223221980468,5.667534076665065
0.25,0.6,2.4,0.17825689561229696,0.001,1.4185156797320866,5.473870217993858
0.25,0.6,2.4,0.18763883748662838,0.001,1.42624464697425,5.056760911269816
0.25,0.6,2.4,0.1970207793609598,0.001,1.431489448658828,4.889042122964978
0.25,0.6,2.4,0.20640272123529121,0.001,1.43581945320069,4.462407545843856
0.25,0.6,2.4,0.21578466310962263,0.001,1.4398000334333918,4.215644446485176
0.25,0.6,2.4,0.22516660498395408,0.001,1.4434616989889837,4.093055457230896
0.25,0.6,2.4,0.2345485468582855,0.001,1.4468073832408732,4.290124791298915
0.25,0.6,2.4,0.2439304887326169,0.001,1.450073262234755,4.006934609035107
0.25,0.6,2.4,0.2533124306069483,0.001,1.4531738170058826,3.9106509199009474
0.25,0.6,2.4,0.26269437248127975,0.001,1.4561006180626865,3.796523274771016
0.25,0.6,2.4,0.27207631435561114,0.001,1.4589080629637068,3.75623251319974
0.25,0.6,2.4,0.2814582562299426,0.001,1.4615498758384187,3.7472434680986777
0.25,0.6,2.4,0.290840198104274,0.001,1.4640775083068984,3.6280718923947206
0.25,0.6,2.4,0.3002221399786054,0.001,1.4664773865138911,3.5287912261802776
0.25,0.6,2.4,0.30960408185293686,0.001,1.4687245074684236,3.7555376780217413
0.25,0.6,2.4,0.31898602372726825,0.001,1.4708573456210932,3.758476690649563
0.25,0.6,2.4,0.3283679656015997,0.001,1.4728966455163868,3.738149953057023
0.25,0.6,2.4,0.3377499074759311,0.001,1.4747641616442757,3.8452071378366597
0.25,0.6,2.4,0.34713184935026253,0.001,1.476510443113565,3.910520324342639
0.25,0.6,2.4,0.3565137912245939,0.001,1.4781901318155692,3.8672751254242987
0.25,0.6,2.4,0.36589573309892537,0.001,1.4798177604396998,3.772510033811034
0.25,0.6,2.4,0.37527767497325676,0.001,1.4813776156138165,3.711918847250375
